Model_Name,Category,Cancer_Type,Task,Dataset(s),Dataset_URL,Model_GitHub_URL,Paper_URL,Primary_Metric,Metric_Value,Secondary_Metric,Secondary_Value,Notes,Rank_by_Eval
HistoGPT,Model (Specialized),Pan-Cancer,Histopathology Report Generation,TCGA + internal WSIs,https://portal.gdc.cancer.gov/,https://github.com/marrlab/HistoGPT,https://arxiv.org/abs/2312.01314,BLEU / ROUGE,High report accuracy,Clinical accuracy,Validated,"Generates highly accurate histopathology reports from WSIs; GPT-based; validated clinically",21
ACMIL,Model (General),Pan-Cancer,WSI Classification,TCGA + CAMELYON16,https://camelyon16.grand-challenge.org/,https://github.com/dazhangyu123/ACMIL,https://arxiv.org/abs/2309.07400,AUC,Competitive with SOTA,Accuracy,High,"Attention-based MIL with context-aware feature aggregation; strong WSI classification",22
SparseConvMIL,Model (General),Pan-Cancer,WSI Classification,TCGA,https://portal.gdc.cancer.gov/,https://github.com/MarvinLer/SparseConvMIL,https://arxiv.org/abs/2203.16885,AUC,Competitive,Accuracy,Competitive,"Sparse convolutional context-aware MIL; efficient WSI classification",23
DT-MIL,Model (General),Pan-Cancer,WSI Classification,TCGA + CAMELYON16,https://camelyon16.grand-challenge.org/,https://github.com/yfzon/DT-MIL,https://arxiv.org/abs/2106.01842,AUC,Competitive,Accuracy,Competitive,"Deformable transformer for MIL; handles spatial deformations in histology",24
PANTHER,Model (General),Pan-Cancer,Slide Representation Learning / Survival,TCGA,https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/PANTHER,https://arxiv.org/abs/2312.01955,C-index,Competitive,AUC,Competitive,"Morphological prototyping for unsupervised slide representation; CVPR 2024",25
TANGLE,Model (Specialized),Pan-Cancer,Transcriptomics-guided Slide Representation,TCGA (multi-cancer),https://portal.gdc.cancer.gov/,https://github.com/mahmoodlab/TANGLE,https://arxiv.org/abs/2402.02501,AUC,SOTA on transcriptomics-guided tasks,C-index,Competitive,"Integrates spatial transcriptomics with histology for slide representation learning",26
LongViT,Model (General),Pan-Cancer,Gigapixel WSI Classification,TCGA,https://portal.gdc.cancer.gov/,https://github.com/microsoft/LongViT,https://arxiv.org/abs/2309.00413,AUC,Competitive,Accuracy,Competitive,"End-to-end gigapixel image processing ViT; no patch aggregation needed",27
Cerberus,Model (Specialized),Multi-Tissue,Simultaneous Segmentation + Classification,CoNSeP / CCRCC / DigestPath,https://warwick.ac.uk/fac/cross_fac/tia/data/,https://github.com/TissueImageAnalytics/cerberus,https://arxiv.org/abs/2209.02750,DICE / F1,SOTA multi-task,PQ,Competitive,"Multi-task learning for simultaneous segmentation and classification; strong on tissue type tasks",28
StarDist,Model (General),Multi-Tissue (Nuclei),Nuclei Instance Segmentation,DSB2018 / CoNSeP / custom,https://github.com/stardist/stardist,https://github.com/stardist/stardist,https://arxiv.org/abs/1806.03535,F1 (nuclei detection),SOTA at publication,IoU,High,"Star-convex shape detection; widely used nuclei segmentation baseline; MICCAI 2018",29
TCGA Segmentation,Model (Specialized),Pan-Cancer (28 organs),Tumor Segmentation (Weakly Supervised),TCGA (11000+ WSIs),https://portal.gdc.cancer.gov/,https://github.com/MSKCC-Computational-Pathology/tumor-seg,https://arxiv.org/abs/2004.01888,DICE,Competitive,IoU,Competitive,"Weakly supervised MIL tumor segmentation across 28 organs from TCGA",30
VIM4Path,Model (General),Pan-Cancer,WSI Classification (Self-supervised),CAMELYON16 + TCGA,https://camelyon16.grand-challenge.org/,https://github.com/AtlasAnalyticsLab/Vim4Path,https://arxiv.org/abs/2404.13222,AUC (CAMELYON16),+8.21 ROC AUC vs ViT (same size),Accuracy,Competitive,"Self-supervised Vision Mamba; outperforms ViT at smaller scales; efficient for WSI",31
BEPH,Model (General),Pan-Cancer,WSI Pre-training / Classification,TCGA,https://portal.gdc.cancer.gov/,https://github.com/Zhcyoung/BEPH,https://arxiv.org/abs/2312.01504,AUC,Competitive,Accuracy,Competitive,"BEiT-based pre-training on WSIs; strong downstream classification performance",32
HistoSegNet,Model (Specialized),Multi-Tissue,Semantic Tissue Segmentation,ADP (Atlas of Digital Pathology),https://github.com/mahdihosseini/ADP,https://github.com/mahdihosseini/HistoSegNet,https://arxiv.org/abs/1910.11874,mIoU,Competitive,Accuracy,Competitive,"Semantic segmentation of histological tissue types in WSIs; uses ADP dataset",33
DMMN,Model (Specialized),Multi-Tissue,Multi-class Tissue Segmentation,TCGA + custom,https://portal.gdc.cancer.gov/,https://github.com/ZeyuGaoAi/DMMN,https://arxiv.org/abs/2007.09977,DICE,Competitive,Accuracy,Competitive,"Deep Multi-Magnification Network; multi-class tissue segmentation across magnifications",34
BiomedCLIP,Foundation Model,Pan-Cancer / Biomedical,Image-Text Classification / Zero-shot,15M scientific image-text pairs,N/A,https://github.com/microsoft/BiomedCLIP,https://arxiv.org/abs/2303.00915,Zero-shot AUC,SOTA on biomedical VL tasks,Classification accuracy,Competitive,"Multimodal biomedical FM; 15M image-text pairs; strong zero-shot pathology classification",35
PathoDuet,Foundation Model,Pan-Cancer,H&E + IHC Slide Analysis,TCGA + IHC datasets,https://portal.gdc.cancer.gov/,https://github.com/openmedlab/PathoDuet,https://arxiv.org/abs/2312.09894,AUC,Competitive,Accuracy,Competitive,"Foundation model for both H&E and IHC stained slides; dual-stain analysis",36
Hibou,Foundation Model,Pan-Cancer,WSI Classification / Feature Extraction,Large-scale histopathology WSIs,N/A,https://github.com/HistAI/hibou,https://arxiv.org/abs/2406.05074,AUC,Competitive with UNI/CONCH,Accuracy,Competitive,"Family of foundational ViTs for pathology; multiple model sizes available",37
H-optimus,Foundation Model,Pan-Cancer,Histology Feature Extraction / Classification,Large-scale histopathology WSIs,N/A,https://github.com/bioptimus/releases,https://arxiv.org/abs/2406.05074,AUC,Competitive,Accuracy,Competitive,"Foundation model for histology; strong feature extractor for downstream tasks",38
PathDino,Foundation Model,Pan-Cancer,Rotation-agnostic Representation Learning,TCGA + custom,https://portal.gdc.cancer.gov/,https://github.com/kaiko-ai/pathDino,https://arxiv.org/abs/2309.07778,AUC,Competitive,Rotation invariance,Strong,"Rotation-agnostic image representation; addresses orientation bias in pathology images",39
Path Foundation,Foundation Model,Pan-Cancer,Histopathology Feature Embedding,Google internal + TCGA,https://portal.gdc.cancer.gov/,https://developers.google.com/health-ai-developer-foundations/path-foundation,https://arxiv.org/abs/2310.07033,AUC,Competitive,Downstream task accuracy,Competitive,"Google's embedding model for histopathology; efficient building block for downstream AI",40
